sp_id,stco,latitude,longitude
450113806,6075,37.75488,-122.415419
450154273,6075,37.750739,-122.409804
450152630,6075,37.748857,-122.4923
450153283,6075,37.783681,-122.429454
450138830,6075,37.733734,-122.380617
450071964,6075,37.781661,-122.4674469
450125380,6075,37.732403,-122.386385
450154272,6075,37.745756,-122.452356
450053114,6075,37.7949191,-122.4340223
450153235,6075,37.782249,-122.458952
450105374,6075,37.782958,-122.482804
450081235,6075,37.783129,-122.437739
450073597,6075,37.7708713,-122.446289
450088221,6075,37.787965,-122.410977
450142190,6075,37.725224,-122.430121
450114882,6075,37.780691,-122.423086
450134926,6075,37.777608,-122.496889
450106602,6075,37.730234,-122.466233
450119310,6075,37.760939,-122.404072
450054179,6075,37.7877156,-122.442386
450128881,6075,37.74535,-122.47031
450080138,6075,37.754937,-122.426202
450129530,6075,37.729026,-122.419248
450110925,6075,37.736097,-122.399395
450139730,6075,37.727948,-122.404917
450117792,6075,37.760489,-122.396236
450048677,6075,37.7576872,-122.4930988
450071874,6075,37.7960793,-122.4379254
450065235,6075,37.7886958,-122.4559927
450124826,6075,37.803401,-122.424082
450060156,6075,37.7222899,-122.448978
450135969,6075,37.757952,-122.489587
450154770,6075,37.721993,-122.443314
450110435,6075,37.71861,-122.388897
450154958,6075,37.719029,-122.396117
450125405,6075,37.777781,-122.492032
450141942,6075,37.761403,-122.427287
450115249,6075,37.720733,-122.429048
450131227,6075,37.761597,-122.4012
450105024,6075,37.745874,-122.449984
450111175,6075,37.751788,-122.404656
450066597,6075,37.7534784,-122.4166834
450153153,6075,37.754418,-122.443888
450053113,6075,37.7949191,-122.4340223
450075708,6075,37.7634878,-122.4746087
450124014,6075,37.804816,-122.411689
450132941,6075,37.759631,-122.414687
450104627,6075,37.792616,-122.433547
450130987,6075,37.743812,-122.499865
450132921,6075,37.773688,-122.429094
450054710,6075,37.7322993,-122.3815918
450136364,6075,37.74819,-122.412037
450073189,6075,37.7818366,-122.4674569
450106725,6075,37.77515,-122.476799
450071813,6075,37.7750891,-122.4996908
450133462,6075,37.736733,-122.421137
450066553,6075,37.7222899,-122.4508036
450080790,6075,37.77716,-122.40215
